Date,Open,High,Low,Close,Volume
2010-09-20,8.2729,8.50269,8.26575,8.48661,784851886
2010-09-21,8.50387,8.61014,8.47298,8.50269,794380794
2010-09-22,8.47669,8.62869,8.46158,8.62183,696980330
2010-09-23,8.58413,8.77214,8.56925,8.65684,935496301
2010-09-24,8.74907,8.7956,8.70532,8.7588,772312756
2010-09-27,8.80895,8.83025,8.71943,8.72401,575108085
2010-09-28,8.73995,8.74251,8.24011,8.59524,1232719783
2010-09-29,8.60426,8.68342,8.56925,8.61063,559016145
2010-09-30,8.65901,8.68932,8.42665,8.5019,801917320
2010-10-01,8.57903,8.5871,8.42978,8.46552,534070930
2010-10-04,8.44058,8.47669,8.32262,8.34925,518000883
2010-10-05,8.46011,8.67275,8.44462,8.65754,595569266
2010-10-06,8.68041,8.74877,8.54753,8.66538,797323997
2010-10-07,8.69963,8.70364,8.5966,8.66636,485732107
2010-10-08,8.74173,8.82337,8.68932,8.81187,782832817
2010-10-11,8.83239,8.9057,8.8266,8.84985,508638490
2010-10-12,8.85115,8.97385,8.76362,8.9453,663806511
2010-10-13,8.99016,9.04697,8.98319,8.9932,741159443
2010-10-14,9.03588,9.06347,9.00088,9.05856,516620230
2010-10-15,9.21174,9.43938,9.13638,9.43153,1093266427
2010-10-18,9.5424,9.55813,9.41877,9.52769,1285333883
2010-10-19,9.09302,9.40307,8.98969,9.27451,1464130452
2010-10-20,9.25981,9.41678,9.19506,9.30495,855580966
2010-10-21,9.35795,9.43153,9.19289,9.27451,652415487
2010-10-22,9.25981,9.29034,9.17739,9.21272,440999245
2010-10-25,9.26276,9.33733,9.24203,9.25491,458749669
2010-10-26,9.19506,9.2814,9.15805,9.22987,463420449
2010-10-27,9.21391,9.28642,9.1564,9.22291,467938553
2010-10-28,9.22705,9.22892,9.01587,9.14588,653847572
2010-10-29,9.11842,9.16501,9.01481,9.01823,507886107
2010-11-01,9.06788,9.1564,9.05462,9.11341,503427261
2010-11-02,9.20585,9.29424,9.19896,9.26964,514656083
2010-11-03,9.33341,9.37562,9.24499,9.37265,605277101
2010-11-04,9.44329,9.59443,9.44036,9.53555,763796631
2010-11-05,9.52769,9.57576,9.48942,9.5012,429832439
2010-11-08,9.5012,9.58164,9.49039,9.54632,333737732
2010-11-09,9.61795,9.62678,9.42464,9.47077,455701003
2010-11-10,9.48843,9.55025,9.3962,9.52965,454500210
2010-11-11,9.44036,9.53945,9.41678,9.48647,430072234
2010-11-12,9.45411,9.48256,9.09763,9.22892,947561860
2010-11-15,9.24303,9.30495,9.17641,9.19994,479720724
2010-11-16,9.15461,9.21663,8.96798,9.03626,783007537
2010-11-17,9.02089,9.1089,8.92149,9.00429,570497565
2010-11-18,9.15276,9.27944,9.1292,9.24203,587088293
2010-11-19,9.22892,9.24106,9.14588,9.19093,458285258
2010-11-22,9.19004,9.39031,9.16482,9.39031,466767895
2010-11-23,9.30397,9.34126,9.18582,9.25078,616967191
2010-11-24,9.34911,9.45214,9.34126,9.43347,493052097
2010-11-26,9.3962,9.51886,9.37755,9.43938,283379119
2010-11-29,9.47569,9.51199,9.33048,9.49336,526959811
2010-11-30,9.39521,9.42073,9.31486,9.3236,596845225
2010-12-01,9.45803,9.52082,9.43938,9.4796,547583511
